episode_id,label,scenario_family,status,duration_seconds,gpu_name,invocation_style,workdir_style
061,adversarial,adversarial_finetune,success,52.207,NVIDIA H100 80GB HBM3,module,nested
062,ordinary,ordinary_training,success,83.984,NVIDIA H100 80GB HBM3,direct,flat
063,ordinary,ordinary_training,success,91.513,NVIDIA H100 80GB HBM3,shell_wrapper,nested
064,adversarial,adversarial_training,success,63.16,NVIDIA H100 80GB HBM3,direct,nested
065,adversarial,adversarial_inference,success,91.111,NVIDIA H100 80GB HBM3,shell_wrapper,nested
066,ordinary,ordinary_inference,success,53.56,NVIDIA H100 80GB HBM3,shell_wrapper,flat
067,ordinary,ordinary_inference,success,48.879,NVIDIA H100 80GB HBM3,module,nested
068,ordinary,ordinary_training,success,93.164,NVIDIA H100 80GB HBM3,module,nested
069,ordinary,ordinary_training,success,62.408,NVIDIA H100 80GB HBM3,shell_wrapper,tmp
070,adversarial,adversarial_finetune,success,46.413,NVIDIA H100 80GB HBM3,shell_wrapper,tmp
071,ordinary,ordinary_inference,success,59.185,NVIDIA H100 80GB HBM3,module,tmp
072,adversarial,adversarial_training,success,61.224,NVIDIA H100 80GB HBM3,direct,flat
073,adversarial,adversarial_training,success,95.864,NVIDIA H100 80GB HBM3,direct,tmp
074,adversarial,adversarial_inference,success,79.517,NVIDIA H100 80GB HBM3,module,tmp
075,adversarial,adversarial_finetune,success,40.801,NVIDIA H100 80GB HBM3,direct,tmp
076,adversarial,adversarial_training,success,101.289,NVIDIA H100 80GB HBM3,shell_wrapper,nested
077,ordinary,ordinary_finetune,success,40.421,NVIDIA H100 80GB HBM3,module,flat
078,ordinary,ordinary_training,success,56.581,NVIDIA H100 80GB HBM3,direct,tmp
079,adversarial,adversarial_finetune,success,40.135,NVIDIA H100 80GB HBM3,module,tmp
080,ordinary,ordinary_finetune,success,40.421,NVIDIA H100 80GB HBM3,direct,tmp
081,adversarial,adversarial_finetune,success,42.095,NVIDIA H100 80GB HBM3,shell_wrapper,nested
082,adversarial,adversarial_training,success,61.191,NVIDIA H100 80GB HBM3,module,flat
083,ordinary,ordinary_finetune,success,42.405,NVIDIA H100 80GB HBM3,direct,tmp
084,adversarial,adversarial_inference,success,140.467,NVIDIA H100 80GB HBM3,direct,flat
085,ordinary,ordinary_inference,success,91.399,NVIDIA H100 80GB HBM3,direct,tmp
086,ordinary,ordinary_inference,success,60.878,NVIDIA H100 80GB HBM3,module,nested
087,adversarial,adversarial_inference,success,53.256,NVIDIA H100 80GB HBM3,direct,flat
088,ordinary,ordinary_finetune,success,45.534,NVIDIA H100 80GB HBM3,direct,tmp
089,ordinary,ordinary_finetune,success,42.964,NVIDIA H100 80GB HBM3,shell_wrapper,tmp
090,adversarial,adversarial_inference,success,85.307,NVIDIA H100 80GB HBM3,shell_wrapper,flat
